time,open,high,low,close,volume
1768716900000,95178.33000000,95187.63000000,95144.30000000,95187.63000000,33.68056000
1768717800000,95187.62000000,95199.62000000,95159.21000000,95186.30000000,44.09901000
1768718700000,95186.30000000,95186.30000000,95147.90000000,95171.43000000,43.25932000
1768719600000,95171.44000000,95183.30000000,95080.02000000,95080.51000000,150.23978000
1768720500000,95080.51000000,95102.00000000,95056.31000000,95101.99000000,51.27925000
1768721400000,95102.00000000,95102.00000000,95028.64000000,95035.08000000,49.78085000
1768722300000,95035.08000000,95087.92000000,95028.27000000,95028.27000000,41.93868000
1768723200000,95028.27000000,95061.26000000,95021.44000000,95048.26000000,42.54694000
1768724100000,95048.25000000,95109.00000000,95038.15000000,95109.00000000,24.36575000
1768725000000,95109.00000000,95195.00000000,95108.99000000,95162.73000000,30.21647000
1768725900000,95162.72000000,95193.78000000,95149.91000000,95183.93000000,27.83344000
1768726800000,95183.93000000,95185.00000000,95149.18000000,95185.00000000,23.15357000
1768727700000,95184.99000000,95243.18000000,95184.99000000,95186.30000000,156.25833000
1768728600000,95186.29000000,95273.15000000,95186.29000000,95238.62000000,72.37309000
1768729500000,95238.62000000,95295.35000000,95238.62000000,95275.73000000,60.49877000
1768730400000,95275.73000000,95295.39000000,95088.00000000,95141.60000000,201.70427000
1768731300000,95141.60000000,95142.19000000,95108.53000000,95127.34000000,38.58270000
1768732200000,95127.33000000,95180.66000000,95122.18000000,95179.27000000,76.99462000
1768733100000,95179.28000000,95180.67000000,95158.65000000,95180.66000000,26.96028000
1768734000000,95180.67000000,95180.67000000,95109.84000000,95122.84000000,46.66936000
1768734900000,95122.85000000,95125.00000000,95101.49000000,95113.12000000,25.59330000
1768735800000,95113.12000000,95153.87000000,95061.65000000,95129.42000000,70.07817000
1768736700000,95129.41000000,95180.67000000,95117.78000000,95168.06000000,36.17696000
1768737600000,95168.06000000,95178.09000000,95117.99000000,95117.99000000,25.08995000
1768738500000,95117.99000000,95141.02000000,95104.72000000,95141.01000000,37.83371000
1768739400000,95141.01000000,95164.20000000,95128.15000000,95164.19000000,19.97931000
1768740300000,95164.19000000,95164.20000000,95081.32000000,95113.25000000,40.00559000
1768741200000,95113.24000000,95114.58000000,95008.71000000,95051.34000000,72.48598000
1768742100000,95051.34000000,95051.75000000,94910.00000000,94969.95000000,85.45128000
1768743000000,94969.94000000,95186.30000000,94946.14000000,95166.29000000,120.13287000
1768743900000,95166.29000000,95205.40000000,95146.82000000,95146.82000000,50.24181000
1768744800000,95146.82000000,95237.50000000,95146.82000000,95237.49000000,49.57792000
1768745700000,95237.50000000,95376.24000000,95136.39000000,95165.00000000,209.19806000
1768746600000,95164.99000000,95253.02000000,95118.52000000,95134.39000000,154.32994000
1768747500000,95134.38000000,95134.39000000,94928.51000000,94955.79000000,117.24738000
1768748400000,94955.78000000,95024.01000000,94915.21000000,95009.31000000,66.55105000
1768749300000,95009.32000000,95055.31000000,94998.56000000,95054.27000000,32.43327000
